id,text,optionS,optionI,optionC,optionD,isValidation
1,"Wenn ich vor einem wichtigen Problem stehe, bin ich normalerweise:","Methodisch - ich arbeite mich Schritt für Schritt durch das Problem","Dialogorientiert - ich bespreche es mit anderen, um Input zu bekommen","Analytisch - ich prüfe alle Fakten gründlich, bevor ich entscheide","Tatkräftig - ich treffe schnell Entscheidungen und lege los",false
2,"In einer stressigen Situation mit Fristen bevorzuge ich es:","Ruhig zu bleiben und die Aufgaben systematisch abzuarbeiten","Das Team zusammenzubringen und die Stimmung positiv zu halten","Sicherzustellen, dass die Qualität unter Druck nicht leidet","Die Kontrolle zu übernehmen und zu priorisieren, was zuerst getan werden muss",false
3,"Wenn ich in einem Projekt einen Fehler entdecke, werde ich typischerweise:","Ihn ruhig beheben, ohne Drama zu erzeugen","Ihn offen mit dem Team besprechen, damit wir daraus lernen","Analysieren, warum der Fehler entstanden ist, damit wir ihn künftig verhindern können","Ihn sofort angehen und dann weitermachen",false
4,"Wenn ich etwas Neues lernen muss, bevorzuge ich:","Schritt-für-Schritt-Anweisungen in meinem eigenen Tempo zu folgen","Gemeinsam mit anderen durch Diskussion und Erfahrungsaustausch zu lernen","Das Material gründlich zu studieren und zuerst die Theorie zu verstehen","Direkt einzusteigen und durch Praxis zu lernen",false
5,"Meine typische Reaktion auf plötzliche Planänderungen ist:","Ich bevorzuge Stabilität, passe mich aber schrittweise an","Neugierig auf die neuen Möglichkeiten zu sein, die sich ergeben","Die Konsequenzen zu bewerten, bevor ich die Änderung akzeptiere","Es als Chance zu sehen und mich schnell anzupassen",false
6,"Wenn ein Projekt nicht wie geplant läuft, neige ich dazu:","Ruhig zu bleiben und zur Stabilisierung beizutragen","Die Moral des Teams hochzuhalten und das Positive zu finden","Genau zu erkennen, was schiefgelaufen ist und wie wir es beheben","Schnelle Entscheidungen zu treffen, um alles wieder auf Kurs zu bringen",false
7,"In Meetings trage ich am häufigsten bei, indem ich:","Aufmerksam zuhöre und die Ideen anderer unterstütze","Energie einbringe und andere engagiere","Kritische Fragen stelle und mögliche Herausforderungen aufzeige","Die Agenda vorantreibe und sicherstelle, dass wir unsere Ziele erreichen",false
8,"Wenn ich einem Kollegen Feedback geben muss, bevorzuge ich:","Geduldig und diplomatisch vorzugehen","Positiv zu beginnen und einen guten Dialog über Verbesserungen zu schaffen","Konkretes, faktenbasiertes Feedback mit spezifischen Beispielen zu geben","Direkt und ergebnisorientiert zu kommunizieren",false
9,"Meine bevorzugte Arbeitsumgebung ist eine, in der:","Stabilität, Vorhersehbarkeit und ein unterstützendes Team vorhanden sind","Gute Chemie, Lachen und offene Kommunikation vorhanden sind","Hohe Standards gelten und Zeit bleibt, Dinge richtig zu machen","Klare Ziele vorhanden sind und ich Freiheit habe, sie auf meine Weise zu erreichen",false
10,"In Teamdiskussionen bin ich typischerweise die Person, die:","Sicherstellt, dass alle Stimmen gehört werden","Brainstorming fördert und alle zur Teilnahme bringt","Fragen zu Qualität und Konsistenz stellt","Den Fokus auf Ergebnis und nächste Schritte hält",false
11,"Wenn ich eine Idee präsentiere, konzentriere ich mich vor allem darauf:","Zu zeigen, wie sie allen nützt und Harmonie schafft","Andere zu begeistern und Unterstützung aufzubauen","Recherche zu dokumentieren und mit Daten zu untermauern","Ergebnisse und mögliche Wirkung zu demonstrieren",false
12,"Mein Kommunikationsstil lässt sich am besten beschreiben als:","Geduldig, freundlich und unterstützend","Enthusiastisch, kontaktfreudig und einbindend","Präzise, durchdacht und gut begründet","Direkt, klar und effizient",false
13,"Wenn ich ein neues Projekt beginne, werde ich natürlich:","Einen stabilen Prozess aufbauen, der stetigen Fortschritt sichert","Ein Team bilden und mit einer inspirierenden Vision starten","Gründlich recherchieren und detailliert planen, bevor ich starte","Schlüsselziele identifizieren und sofort loslegen",false
14,"Mein Verhältnis zu Regeln und Verfahren ist:","Ich befolge sie loyal - sie schaffen Struktur und Sicherheit","Ich sehe sie als Leitlinien, konzentriere mich aber auf die Menschen","Sie sind wichtig, und ich stelle sicher, dass sie korrekt befolgt werden","Ich befolge sie, wenn sie sinnvoll sind, hinterfrage sie aber bei Bedarf",false
15,"Unter Zeitdruck ist meine Priorität typischerweise:","Prozesse am Laufen zu halten und Chaos zu vermeiden","Das Team motiviert und kooperativ zu halten","Sicherzustellen, dass wir keine Kompromisse bei der Qualität eingehen","Ziele zu erreichen - notfalls durch Abkürzungen",false
16,"Wenn ich allein an einer Aufgabe arbeite, bin ich am besten darin:","Stetig und zuverlässig durch die Aufgabe zu arbeiten","Kreative Ideen und innovative Lösungen zu entwickeln","Fehlerfreie, gut recherchierte Arbeit zu produzieren","Schnell zu arbeiten und Dinge erledigt zu bekommen",false
17,"Mein natürlicher Arbeitsrhythmus lässt sich beschreiben als:","Gleichmäßig und konsequent mit vorhersehbaren Routinen","Abwechslungsreich und energisch mit Raum für Spontaneität","Fokussiert und gründlich mit Zeit für Details","Intensiv und schnell mit Fokus auf Ergebnisse",false
18,"Wenn ich am produktivsten bin, arbeite ich am besten:","In einer ruhigen, stabilen Umgebung ohne ständige Unterbrechungen","In Zusammenarbeit mit anderen, wenn wir Ideen austauschen können","Mit Möglichkeit zu tiefer Konzentration und Analyse","Mit klaren Fristen und Herausforderungen, die gelöst werden müssen",false
19,"Was mich bei der Arbeit am meisten motiviert, ist:","Ein verlässlicher Teil eines Teams zu sein, das sich gegenseitig unterstützt","Mit Menschen zu arbeiten und einen positiven Unterschied zu machen","Expertise und Qualitätsarbeit zu liefern","Konkrete Ergebnisse zu erzielen und ambitionierte Ziele zu erreichen",false
20,"Wenn ich über einen guten Arbeitstag nachdenke, dann weil ich:","Dem Team geholfen und zu einem harmonischen Umfeld beigetragen habe","Gute Interaktionen hatte und andere inspiriert habe","Komplexe Probleme gelöst oder fehlerfreie Arbeit geleistet habe","Meine Ziele erreicht und Herausforderungen überwunden habe",false
21,"Meine Kollegen würden mich wahrscheinlich beschreiben als:","Loyal, geduldig und unterstützend","Positiv, sozial und inspirierend","Gründlich, präzise und qualitätsbewusst","Zielorientiert, entschlossen und ergebnisorientiert",false
22,"Das Wichtigste für mich in einer Führungsrolle ist:","Eine stabile und verlässliche Führungskraft zu sein, auf die man zählen kann","Ein positives Umfeld zu schaffen, in dem Menschen gedeihen","Hohe Standards und Qualitätslieferung aufrechtzuerhalten","Leistung voranzutreiben und ambitionierte Ergebnisse zu erreichen",false
23,"Ich fühle mich am meisten wertgeschätzt, wenn andere anerkennen:","Meine Loyalität, Verlässlichkeit und unterstützende Art","Meine Begeisterung, Kreativität und Fähigkeit, andere einzubinden","Meine Expertise, Präzision und Gründlichkeit","Meine Tatkraft, Ergebnisse und Führung",false
24,"Meine Definition von Erfolg bei der Arbeit ist vor allem:","Ein treuer Teamplayer zu sein, der zur Stabilität beiträgt","Positive Beziehungen zu schaffen und andere zu inspirieren","Fehlerfreie, gut recherchierte Arbeit hoher Qualität zu liefern","Konkrete Ziele und Vorgaben zu erreichen oder zu übertreffen",false
25,"Allgemein gesprochen neige ich dazu:","Mit Handeln genauso gut zu arbeiten wie mit Diskussion","Mich mehr für Diskussion als für Handeln zu interessieren","Die Situation vor Handeln oder Diskussion zu analysieren","Mich mehr für Handeln als für Diskussion zu interessieren",true
26,"Wenn etwas schiefgeht, ist meine erste Reaktion:","Ich bleibe ruhig und helfe, die Situation zu beruhigen","Ich bringe Menschen zusammen, um es gemeinsam zu lösen","Ich analysiere, was schiefging, um eine Wiederholung zu verhindern","Ich handle sofort, um es zu beheben",true
27,"Andere würden sagen, ich sei vor allem bekannt dafür:","Nie mit irgendjemandem über irgendetwas uneinig zu sein","Immer glücklich und nie gestresst zu sein","Zuverlässig zu sein und nie Fehler zu machen","Immer am Steuer zu sitzen und alle Entscheidungen allein zu treffen",true
